
HELLO IICS

FST info: dumpfile test.fst opened for output.
======================================
=         SIM started                =
= seed        = 1
= transaction = 100
= push_rate   = 50
======================================
tmp1 = 0x1; x = 5.960464477539062500000000000000e-08, tmp2 = 0x1
  464 ns sample          75 ERROR they don't match: a = 0x7ed5:0.00000000000000000000e+00; b = 0xab1e:-5.56030273437500000000e-02; z = 0x7ed5:0.00000000000000000000e+00, expt = 0xab1e:-5.56030273437500000000e-02
  468 ns sample          76 OK it match: a = 0xa106:-9.81140136718750000000e-03; b = 0x3322:2.22900390625000000000e-01; z = 0x32d2:2.13134765625000000000e-01, expt = 0x32d2:2.13088989257812500000e-01
  472 ns sample          77 OK it match: a = 0xaddf:-9.17358398437500000000e-02; b = 0xc2f3:-3.47460937500000000000e+00; z = 0xc322:-3.56640625000000000000e+00, expt = 0xc322:-3.56634521484375000000e+00
  476 ns sample          78 OK it match: a = 0x3622:3.83300781250000000000e-01; b = 0x5b09:2.25125000000000000000e+02; z = 0x5b0c:2.25500000000000000000e+02, expt = 0x5b0c:2.25508300781250000000e+02
  480 ns sample          79 OK it match: a = 0x8cb1:-2.86340713500976562500e-04; b = 0x8b53:-2.23517417907714843750e-04; z = 0x902d:-5.09738922119140625000e-04, expt = 0x902d:-5.09858131408691406250e-04
  484 ns sample          80 OK it match: a = 0x1996:2.72750854492187500000e-03; b = 0x51a9:4.52812500000000000000e+01; z = 0x51a9:4.52812500000000000000e+01, expt = 0x51a9:4.52839775085449218750e+01
  488 ns sample          81 OK it match: a = 0xbdf5:-1.48925781250000000000e+00; b = 0xf05f:-8.95200000000000000000e+03; z = 0xf05f:-8.95200000000000000000e+03, expt = 0xf05f:-8.95348925781250000000e+03
  492 ns sample          82 ERROR they don't match: a = 0x3f06:1.75585937500000000000e+00; b = 0xe0a1:-5.92500000000000000000e+02; z = 0xe09f:-5.91500000000000000000e+02, expt = 0xe09d:-5.90744140625000000000e+02
  496 ns sample          83 OK it match: a = 0x9918:-2.48718261718750000000e-03; b = 0x9f13:-6.90841674804687500000e-03; z = 0xa0d0:-9.39941406250000000000e-03, expt = 0xa0d0:-9.39559936523437500000e-03
  500 ns sample          84 OK it match: a = 0x6742:1.85800000000000000000e+03; b = 0x9902:-2.44522094726562500000e-03; z = 0x6742:1.85800000000000000000e+03, expt = 0x6742:1.85799755477905273438e+03
  504 ns sample          85 OK it match: a = 0x3dcf:1.45214843750000000000e+00; b = 0x2af:4.09483909606933593750e-05; z = 0x3dcf:1.45214843750000000000e+00, expt = 0x3dcf:1.45218938589096069336e+00
  508 ns sample          86 OK it match: a = 0xcb3:2.86817550659179687500e-04; b = 0xc214:-3.03906250000000000000e+00; z = 0xc214:-3.03906250000000000000e+00, expt = 0xc214:-3.03877568244934082031e+00
  512 ns sample          87 OK it match: a = 0x84ec:-7.51018524169921875000e-05; b = 0x46b6:6.71093750000000000000e+00; z = 0x46b6:6.71093750000000000000e+00, expt = 0x46b6:6.71086239814758300781e+00
  516 ns sample          88 OK it match: a = 0x6dce:5.94400000000000000000e+03; b = 0x6a62:3.26800000000000000000e+03; z = 0x7080:9.21600000000000000000e+03, expt = 0x7080:9.21200000000000000000e+03
  520 ns sample          89 OK it match: a = 0xcc8:2.91824340820312500000e-04; b = 0x5654:1.01250000000000000000e+02; z = 0x5654:1.01250000000000000000e+02, expt = 0x5654:1.01250291824340820312e+02
  524 ns sample          90 OK it match: a = 0x827c:-3.79085540771484375000e-05; b = 0x5faf:4.91750000000000000000e+02; z = 0x5faf:4.91750000000000000000e+02, expt = 0x5faf:4.91749962091445922852e+02
  528 ns sample          91 OK it match: a = 0x2ef3:1.08581542968750000000e-01; b = 0xe186:-7.07000000000000000000e+02; z = 0xe186:-7.07000000000000000000e+02, expt = 0xe186:-7.06891418457031250000e+02
  532 ns sample          92 OK it match: a = 0xafe:2.13384628295898437500e-04; b = 0x29e7:4.61120605468750000000e-02; z = 0x29ee:4.63256835937500000000e-02, expt = 0x29ee:4.63254451751708984375e-02
  536 ns sample          93 OK it match: a = 0xa5e:1.94311141967773437500e-04; b = 0x4fda:3.14062500000000000000e+01; z = 0x4fda:3.14062500000000000000e+01, expt = 0x4fda:3.14064443111419677734e+01
  540 ns sample          94 ERROR they don't match: a = 0x8034:-3.09944152832031250000e-06; b = 0x16a8:1.62506103515625000000e-03; z = 0x16a8:1.62506103515625000000e-03, expt = 0x16a5:1.62196159362792968750e-03
  544 ns sample          95 ERROR they don't match: a = 0x78c8:3.91680000000000000000e+04; b = 0xce22:-2.45312500000000000000e+01; z = 0x78c9:3.92000000000000000000e+04, expt = 0x78c7:3.91434687500000000000e+04
